score,l_pol,r_pol,valence,song,,,,,,,,l_pol_old,r_pol_old
5,351.3888889,312.1388889,0.591,probably should have,,,,,,,,-6.481481481,5.412457912
5,225.5,318.7385204,0.782,radar detector,,,,,,,,31.66666667,3.412569573
5,363.6875,269.8524052,0.44,everybody on,,,,,,,,-10.20833333,18.22654386
5,242.5424063,284.9822368,0.23,sore,,,,,,,,26.50230112,13.64174641
5,416.625,292.271757,0.559,secret 77,,,,,,,,-26.25,11.43280092
5,326.9652015,287.1094577,0.456,night day,,,,,,,,0.91963592,12.99713404
5,309.9642857,267.5416023,0.154,halo,,,,,,,,6.071428571,18.92678718
5,298.6666667,303.3469196,0.365,the beheading of a king,,,,,,,,9.494949495,8.076691017
5,223.4170387,314.4268849,0.512,stay dreaming,,,,,,,,32.29786706,4.719125782
5,298.375,275.4860293,0.361,if i were me,,,,,,,,9.583333333,16.51938505
5,336.1875,304.7544163,0.599,drawing flies,,,,,,,,-1.875,7.650176884
5,365.8518519,305.307465,0.0815,turn down for what,,,,,,,,-10.86419753,7.482586368
5,311.1710526,291.5416667,0.915,we live as we dream alone,,,,,,,,5.705741627,11.6540404
5,132,295.4129586,0.47,ngamila,,,,,,,,60,10.48092163
5,148.5,269.2132479,0.121,chromium bitch,,,,,,,,55,18.42022792
5,440.6111111,313.4556878,0.0729,lilacs,,,,,,,,-33.51851852,5.01342793
5,247.5,292.8162496,0.913,default,,,,,,,,25,11.26780314
5,330,267.3333333,0.165,on,,,,,,,,0,18.98989899
5,375.6296296,292.6766091,0.567,pay for it,,,,,,,,-13.82716049,11.31011845
5,364.3550725,267.0784524,0.342,crossfire,,,,,,,,-10.41062802,19.06713564
5,247.5455487,306.9862805,0.606,worm waltz,,,,,,,,24.98619738,6.973854398
5,357.4583333,287.6084565,0.449,burning the cow,,,,,,,,-8.320707071,12.84592228
5,269.9222222,266.3202179,0.441,as time breaks off,,,,,,,,18.20538721,19.29690366
5,295.2277778,309.9940476,0.0355,swans,,,,,,,,10.53703704,6.062409812
5,345.75,296.0595238,0.316,nowhere massachusetts,,,,,,,,-4.772727273,10.28499278
5,278.0380952,275.1665385,0.8,tarnished gold,,,,,,,,15.74603175,16.61620047
5,246.7142857,296.094888,0.277,hey you,,,,,,,,25.23809524,10.27427638
5,332.2261905,261.5676994,0.491,ghosts n stuff,,,,,,,,-0.674603175,20.7370608
5,376.6071429,305.0248087,0.186,hum,,,,,,,,-14.12337662,7.568239796
5,331.2222222,272.771627,0.363,33,,,,,,,,-0.37037037,17.34193122
5,325.0073529,272.5245641,0.361,becomes dark blue,,,,,,,,1.512923351,17.41679877
5,279.8766667,302.3332324,0.854,under control,,,,,,,,15.18888889,8.383868956
5,176.7800481,274.8762333,0.735,there goes my love,,,,,,,,46.43028846,16.70417172
5,275,290.3980455,0.791,to susan on the west coast waiting,,,,,,,,16.66666667,12.00059228
5,297,272.92129,0.123,insoluble,,,,,,,,10,17.2965788
5,300.85,265.7708333,0.413,utmost good,,,,,,,,8.833333333,19.46338384
5,275.4583333,287.3748855,0.0401,out for the west,,,,,,,,16.52777778,12.91670135
5,330,290.6957672,0.164,candy shoppe,,,,,,,,0,11.91037358
5,329.7053571,292.4108193,0.268,flick of the finger,,,,,,,,0.089285714,11.39066081
5,326.8125,283.0204307,0.475,peace,,,,,,,,0.965909091,14.23623313
5,330,254.9007599,0.0322,it comes back again,,,,,,,,0,22.75734549
5,209,278.6454493,0.845,lucky today,,,,,,,,36.66666667,15.56198506
5,229.4642857,281.5047872,0.776,rock me gently,,,,,,,,30.46536797,14.69551902
5,462,288.037408,0.433,suddenly the living are dying,,,,,,,,-40,12.71593698
5,284.1666667,294.4910714,0.802,we want in,,,,,,,,13.88888889,10.76028139
5,246.7948718,290.4166667,0.15,anything you love,,,,,,,,25.21367521,11.99494949
6,330,291.5714286,0.5,tephra,,,,,,,,0,11.64502165
6,227.3333333,248.8517442,0.294,wildflower,,,,,,,,31.11111111,24.59038055
6,304.1041667,285.1676727,0.242,top tim rubies,,,,,,,,7.847222222,13.58555373
6,219.2413793,290.9289867,0.784,she is love,,,,,,,,33.56321839,11.839701
6,307.0178571,265.1358418,0.78,re make re model,,,,,,,,6.964285714,19.6558055
6,264.3055556,271.9466998,0.242,no hope,,,,,,,,19.90740741,17.59190915
6,390.8153547,324.2692901,0.253,under sad stars,,,,,,,,-18.42889537,1.73657875
6,219.0714286,288.5170215,0.6,corrina,,,,,,,,33.61471861,12.57059954
6,316.4117647,292.3401361,0.462,top bunk,,,,,,,,4.117647059,11.41207998
6,258.0285714,260.3628663,0.294,my love,,,,,,,,21.80952381,21.10216173
6,283.3035714,287.8686756,0.632,not if you were the last dandy on earth,,,,,,,,14.1504329,12.767068
6,230.0222222,294.8630952,0.719,beatles,,,,,,,,30.2962963,10.6475469
6,443.1428571,278.1464738,0.277,sad eyes,,,,,,,,-34.28571429,15.71318976
6,276.375,257.9897479,0.0985,white cell,,,,,,,,16.25,21.82128852
6,285,259.8085678,0.162,dangerzone,,,,,,,,13.63636364,21.27013096
6,285.7010582,319.4427002,0.666,all eyes on me,,,,,,,,13.42392176,3.199181771
6,277.7403509,332.5374317,0.466,fall back,,,,,,,,15.83625731,-0.768918695
6,316.4638889,263.5461039,0.166,20 20,,,,,,,,4.101851852,20.13754427
6,363.9166667,272.102708,0.587,chasing,,,,,,,,-10.27777778,17.54463394
6,256.587594,262.5524068,0.597,for the love,,,,,,,,22.24618364,20.4386646
6,382.1190476,306.4372863,0.13,invisible leader,,,,,,,,-15.79365079,7.140216265
6,277.9184028,287.3228923,0.272,knight moves,,,,,,,,15.78230219,12.93245689
6,331.2375,312.9432506,0.241,heavenly metals,,,,,,,,-0.375,5.168711938
6,295.0428571,274.8818491,0.82,wind,,,,,,,,10.59307359,16.70246997
6,346.5,283.4004121,0.114,cut the grass,,,,,,,,-5,14.12108725
6,289.575,279.8718112,0.211,dim the lights,,,,,,,,12.25,15.19036024
6,276.6133333,265.4619296,0.226,bitchslut,,,,,,,,16.17777778,19.55699104
6,272.6086957,278.4799894,0.907,love spells,,,,,,,,17.39130435,15.61212442
6,250.6875,293.3603968,0.746,intro weekend warrior,,,,,,,,24.03409091,11.10291005
6,361.0434783,306.2077663,0.746,video killed the radio star,,,,,,,,-9.407114625,7.209767783
6,385.3055556,307.0978261,0.593,city song,,,,,,,,-16.75925926,6.940052701
6,336.372412,289.6479592,0.467,what your life like 2,,,,,,,,-1.931033942,12.22789116
6,410.6666667,293.1041667,0.293,crossing borders,,,,,,,,-24.44444444,11.18055556
6,238.6851852,293.4906312,0.387,calling in the name of love,,,,,,,,27.671156,11.0634451
6,260.5759804,276.1297852,0.406,hanging from above,,,,,,,,21.0375817,16.3243075
6,332.6888889,294.5447765,0.244,stoned alone,,,,,,,,-0.814814815,10.74400713
6,407.3347826,320.5903829,0.569,lost weekend,,,,,,,,-23.43478261,2.851399131
6,165,287.6763271,0.482,raindrops,,,,,,,,50,12.82535543
6,269.8424908,271.546131,0.533,girl like you,,,,,,,,18.22954823,17.71329365
6,322.7583333,315.0740403,0.606,maroon bible,,,,,,,,2.194444444,4.523018082
6,326.4577381,242.2570685,0.403,hey joe,,,,,,,,1.073412698,26.58876714
6,274.2846791,297.5591061,0.183,we were never built to last,,,,,,,,16.88343058,9.83057391
6,352.1590909,283.0738273,0.579,the prowl,,,,,,,,-6.714876033,14.22005234
6,168.8671875,269.2245238,0.631,det haster,,,,,,,,48.828125,18.41681097
6,248.9887218,284.437518,0.143,bows my way,,,,,,,,24.54887218,13.80681272
6,132,279.1827278,0.512,archangel,,,,,,,,60,15.39917338
6,518.1,274.2536443,0.878,lip,,,,,,,,-57,16.89283506
6,330,276.0677593,0.243,with me,,,,,,,,0,16.34310324
6,280.5231092,263.9830729,0.951,thirsty man,,,,,,,,14.9929972,20.00512942
6,271.3141534,265.6078869,0.768,walked in,,,,,,,,17.78358987,19.51276154
6,221.309,272.5191327,0.4,gifted,,,,,,,,32.93666667,17.41844465
6,381.432711,289.2947436,0.154,like this,,,,,,,,-15.58567001,12.33492618
6,314.0892857,275.3367347,0.492,believe,,,,,,,,4.821428571,16.56462585
6,316.525,324.9430091,0.119,bruto bloody bruto,,,,,,,,4.083333333,1.532421479
6,311.9285714,279.6068525,0.297,running to stand still,,,,,,,,5.476190476,15.27065076
6,249.7458333,316.8471726,0.179,super natural,,,,,,,,24.31944444,3.985705267
6,376.75,301.6738338,0.296,moving visions,,,,,,,,-14.16666667,8.583686721
6,270.2857143,287.5103896,0.133,play by play,,,,,,,,18.0952381,12.87563951
6,336.46875,301.2393043,0.317,lights on,,,,,,,,-1.960227273,8.715362329
6,313.5,294.6710271,0.311,a dream,,,,,,,,5,10.70574935
6,346.5,297.7414286,0.669,apples oranges,,,,,,,,-5,9.775324675
6,343.5189076,311.0884127,0.687,battle for asgard,,,,,,,,-4.096638655,5.730784031
6,272.25,290.7,0.0386,that home,,,,,,,,17.5,11.90909091
6,297.3214286,271.2159864,0.245,little little little,,,,,,,,9.902597403,17.81333746
6,258.5,279.105,0.429,i can buy you,,,,,,,,21.66666667,15.42272727
6,236.0666667,261.0205382,0.723,the shy retirer,,,,,,,,28.46464646,20.90286721
6,317.8146552,287.8506118,0.44,goin back,,,,,,,,3.692528736,12.77254189
6,316.625,286.2854478,0.132,beauty mark,,,,,,,,4.053030303,13.24683401
6,378.887605,281.8858993,0.74,love on the march,,,,,,,,-14.81442577,14.58003051
6,376.75,315.2180272,0.425,lie close,,,,,,,,-14.16666667,4.479385694
6,278.9477226,267.828311,0.473,cocaine cowboy,,,,,,,,15.4703871,18.83990575
6,333.6666667,268.794494,0.187,lullaby mountain,,,,,,,,-1.111111111,18.54712302
6,308.5475446,285.9745685,0.786,imaginary places,,,,,,,,6.500744048,13.34103986
6,330,292.4342949,0.202,shelter,,,,,,,,0,11.38354701
6,402.875,291.3319672,0.477,zzzonked,,,,,,,,-22.08333333,11.71758569
6,330,313.1977083,0.691,bombay,,,,,,,,0,5.091603535
6,206.25,239.098852,0.675,you really wake up the love in me,,,,,,,,37.5,27.54580241
6,297,326.6311287,0.436,youth,,,,,,,,10,1.020870076
6,381.3333333,299.9820795,0.303,north west three,,,,,,,,-15.55555556,9.096339535
6,334.5178571,279.2366947,0.939,other life,,,,,,,,-1.369047619,15.38281979
6,295.4107143,284.0286918,0.124,what would i want sky,,,,,,,,10.48160173,13.93069945
6,309.375,338.4656349,0.12,the world is a top,,,,,,,,6.25,-2.565343915
6,306.0444444,269.0510204,0.906,sleestak lightning,,,,,,,,7.259259259,18.46938776
6,326.49375,294.3554133,0.791,wicked man,,,,,,,,1.0625,10.80138991
6,299.75,290.0232143,0.309,eliza,,,,,,,,9.166666667,12.11417749
6,311.9165986,292.787963,0.636,honolulu blues,,,,,,,,5.479818594,11.27637486
6,430.9090909,283.0351563,0.264,souls of the evil departed,,,,,,,,-30.5785124,14.23177083
6,267,317.8030583,0.924,diver,,,,,,,,19.09090909,3.696042942
6,372.4761905,291.5897436,0.425,coming of age,,,,,,,,-12.87157287,11.63947164
6,282,276.7593685,0.508,dominos,,,,,,,,14.54545455,16.13352469
6,348.3988095,299.6898438,0.668,i wanna know,,,,,,,,-5.575396825,9.184895833
6,330,299.1657509,0.109,getting 2 the point,,,,,,,,0,9.343711844
6,266.0625,274.0277778,0.73,face,,,,,,,,19.375,16.96127946
6,277.1934524,280.2823508,0.629,your way or the highway,,,,,,,,16.00198413,15.06595429
6,319.5238095,298.0827142,0.971,cough pills,,,,,,,,3.174603175,9.671904778
6,207,301.746368,0.194,trapped in a basement,,,,,,,,37.27272727,8.561706655
6,357,275.9745137,0.495,all things return at night,,,,,,,,-8.181818182,16.37135947
6,332.75,271.1205357,0.93,frozen smiles,,,,,,,,-0.833333333,17.8422619
6,338.8333333,294.4310811,0.563,palana,,,,,,,,-2.676767677,10.77846028
6,263.8244048,280.3717201,0.708,planet rock,,,,,,,,20.05321068,15.03887269
6,165,318.3469019,0.466,creeper,,,,,,,,50,3.531241841
6,338.25,285.3237179,0.176,we sleep in the ocean,,,,,,,,-2.5,13.53826729
6,341.9777778,290.0653617,0.183,ghost in a kiss,,,,,,,,-3.62962963,12.10140554
6,353.4666667,313.0086264,0.498,the final incident,,,,,,,,-7.111111111,5.148901099
6,269.0769231,356.3382362,0.468,ulcer breakout,,,,,,,,18.46153846,-7.981283702
6,355.7539683,275.6917255,0.136,crown,,,,,,,,-7.804232804,16.45705289
6,253.4598214,266.349359,0.363,napalm brain scatter brain,,,,,,,,23.19399351,19.28807304
6,232.4347826,261.6842105,0.231,lucky boy,,,,,,,,29.56521739,20.70175439
6,307.0833333,288.1368039,0.343,big riff,,,,,,,,6.944444444,12.68581701
6,252.1342593,270.5534188,0.803,fly,,,,,,,,23.59567901,18.01411551
6,310.4619048,307.6803106,0.522,lonely,,,,,,,,5.920634921,6.763542255
6,322.4285714,286.9509637,0.817,when i find time,,,,,,,,2.294372294,13.04516251
6,330,268.402439,0.0357,twentytwofourteen,,,,,,,,0,18.66592757
6,313.5785714,261.875,0.328,guaranteed,,,,,,,,4.976190476,20.64393939
6,306.8705357,281.7189408,0.25,sing it shitface,,,,,,,,7.008928571,14.63062401
