score,type,adj,freq,rsubj,lsubj,speechiness,,,new,,og
8,lyrics,strong,15,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,little,13,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,more,12,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,lyrics,freaky,12,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,first,115,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,own,87,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,new,86,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,more,81,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,other,76,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,most,76,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,same,59,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,,0,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,,0,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
8,review,,0,801.6844293,1019.669481,0.485238095,,,0.485238095,,0.075738095
9,lyrics,little,13,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,old,6,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,mine,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,beautiful,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,other,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,happy,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,cool,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,chill,3,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,many,2,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,lyrics,,0,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,first,24,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,much,24,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,last,23,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,many,20,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,new,20,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,more,18,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,great,17,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,most,16,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,same,15,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
9,review,,0,1055.655776,95.35359195,0.76025,,,0.76025,,0.0619875
